City,PopHomeless_2016,PopHomeless_2015,PopHomeless_2014,PopHomeless_2013,PopHomeless_2012,PopHomeless_2011,PopHomeless_2010,Latitude,Longitude,PopTotal_2016
Austin,2138,1832,1987,2090,2244,1358,2087,30.267142,-97.735591,885400
Chicago,8669,8742,8506,8879,10013,9436,8383,41.874307,-87.622328,2719000
Dallas,3810,3141,3514,3163,3447,3297,3710,32.782258,-96.800045,1258000
Houston,4031,4609,5308,6359,7187,8471,6368,29.770702,-95.382236,2196000
Indianapolis,1619,1666,1890,1599,1647,1587,1454,39.768891,-86.161626,852866
Jacksonville,1959,1853,2049,2768,2861,3025,2442,30.330467,-81.666944,842583
Los Angeles,43854,41174,34393,35524,31553,34622,33243,34.053182,-118.266204,3884000
New York,73523,75323,67810,51123,56672,51123,53187,40.714678,-73.989026,8406000
Philadelphia,6112,5998,5738,5645,5780,5780,6084,39.952051,-75.166107,1553000
San Antonio,2781,2891,2892,2980,3670,2046,3291,29.427325,-98.497968,1409000
San Diego,8669,8742,8506,8879,10013,9436,8383,32.715694,-117.143269,1356000
San Francisco,6996,6775,6408,7008,5895,5669,5823,37.776948,-122.414600,852469
San Jose,6524,6556,7567,7631,7053,7067,7086,37.337094,-121.895727,1896000
Seattle,10730,10122,8949,9106,8899,8972,9022,47.606893,-122.322181,652405
Washington DC,8350,7298,7748,6865,6954,6546,6228,38.907280,-77.026249,658893
