City,PopHomeless_2016,PopHomeless_2015,PopHomeless_2014,PopHomeless_2013,PopHomeless_2012,PopHomeless_2011,PopHomeless_2010,Latitude,Longitude,PopTotal_2016,Population,population per 10000_2016,popPer10000_2015,popPer10000_2014,popPer10000_2013,popPer10000_2012,popPer10000_2011,popPer10000_2010
Austin,2138,1832,1987,2090,2244,1358,2087,30.267142,-97.735591,885400,"885,400",24,21,22.441834199232,24,25,15,24
Chicago,8669,8742,8506,8879,10013,9436,8383,41.874307,-87.622328,2719000,2719000,31.8830452372196,32.1515262964325,31.2835601324016,32.6553880102979,36.8260389849209,34.70393527032,30.8311879367414
Dallas,3810,3141,3514,3163,3447,3297,3710,32.782258,-96.800045,1258000,1258000,30,25,28,25,27,26,29
Houston,4031,4609,5308,6359,7187,8471,6368,29.770702,-95.382236,2196000,2196000,18.356102003643,21,24,29,33,39,29
Indianapolis,1619,1666,1890,1599,1647,1587,1454,39.768891,-86.161626,852866,"852,866",19,20,22,19,19,19,17
Jacksonville,1959,1853,2049,2768,2861,3025,2442,30.330467,-81.666944,842583,"842,583",23,22,24,33,34,36,29
Los Angeles,43854,41174,34393,35524,31553,34622,33243,34.053182,-118.266204,3884000,3884000,112.909371781668,106.009268795057,88.5504634397528,91.4624098867147,81.2384140061792,89.140061791967,85.5895983522142
New York,73523,75323,67810,51123,56672,51123,53187,40.714678,-73.989026,8406000,8406000,87.4649060195099,89.6062336426362,80.6685700689983,60.8172733761599,67.4185105876755,60.8172733761599,63.2726623840114
Philadelphia,6112,5998,5738,5645,5780,5780,6084,39.952051,-75.166107,1553000,1553000,39,39,37,36,37,37,39
San Antonio,2781,2891,2892,2980,3670,2046,3291,29.427325,-98.497968,1409000,1409000,20,21,21,21,26,15,23
San Diego,8669,8742,8506,8879,10013,9436,8383,32.715694,-117.143269,1356000,1356000,64,64,63,65,74,70,62
San Francisco,6996,6775,6408,7008,5895,5669,5823,37.776948,-122.414600,852469,837442,83.540113822808,80.9011250928423,76.5187320435326,83.6834073285075,70.392934674879,67.6942403175384,69.533173640682
Atlanta,4063,4317,4797,5536,6811,6805,7019,33.749937,-84.382849,,447841,91,96,107,124,152.085226676432,151.951250555443,156.729732204063
Seattle,10730,10122,8949,9106,8899,8972,9022,47.606893,-122.322181,652405,652405,164,155,137,140,136,138,138
Washington DC,8350,7298,7748,6865,6954,6546,6228,38.907280,-77.026249,658893,658893,127,111,118,104,106,99,95
Denver,5728,5335,6621,6316,6358,4809,8752,39.738661,-104.982867,,447841,128,119,148,141,142,107,195
