City,Latitude,Longitude,Pop2010,Pop2011,Pop2012,Pop2013,Pop2014,Pop2015,Pop2016
Austin,30.267142,-97.735591,24,15,25,24,22.441834199232,21,24
Chicago,41.874307,-87.622328,30.8311879367414,34.70393527032,30.8311879367414,32.6553880102979,31.2835601324016,32.1515262964325,31.8830452372196
Dallas,32.782258,-96.800045,29,26,29,25,28,25,30
Houston,29.770702,-95.382236,29,39,29,29,24,21,18.356102003643
Indianapolis,39.768891,-86.161626,17,19,17,19,22,20,19
Jacksonville,30.330467,-81.666944,29,36,29,33,24,22,23
Los Angeles,34.053182,-118.266204,85.5895983522142,89.140061791967,85.5895983522142,91.4624098867147,88.5504634397528,106.009268795057,112.909371781668
New York,40.714678,-73.989026,63.2726623840114,60.8172733761599,63.2726623840114,60.8172733761599,80.6685700689983,89.6062336426362,87.4649060195099
Philadelphia,39.952051,-75.166107,39,37,39,36,37,39,39
San Antonio,29.427325,-98.497968,23,15,23,21,21,21,20
San Diego,32.715694,-117.143269,62,70,62,65,63,64,64
San Francisco,37.776948,-122.414600,69.533173640682,67.6942403175384,69.533173640682,83.6834073285075,76.5187320435326,80.9011250928423,83.540113822808
Atlanta,33.749937,-84.382849,156.729732204063,151.951250555443,156.729732204063,124,107,96,91
Seattle,47.606893,-122.322181,138,138,138,140,137,155,164
Washington DC,38.907280,-77.026249,95,99,95,104,118,111,127
Denver,39.738661,-104.982867,195,107,195,141,148,119,128
